rank,character,pack_title,pack_short_name,pack_url,type,role,placeholder,verified,notes
1,Utya,Utya Duck,UtyaDuck,https://t.me/addstickers/UtyaDuck,Heart,Support,0,1,Telegram's official duck. Short name believed to be UtyaDuck - confirm in-app.
2,Tendy,Tendy Tiger,,,Blaze,Striker,0,0,TigerMint mascot. Fill pack_short_name from the app.
3,Buddy,Buddy Bear,,,Solid,Bruiser,0,0,Fill pack_short_name from the app.
4,Donut,Donut the Dog,,,Chaos,Trickster,0,0,Fill pack_short_name from the app.
5,Resistance Dog,Resistance Dog,ResistanceDog,https://t.me/addstickers/ResistanceDog,Zap,Striker,0,1,Telegram official pack.
6,Hot Cherry,Hot Cherry,HotCherry,https://t.me/addstickers/HotCherry,Blaze,Trickster,0,1,Telegram official animated pack.
7,,,,,Heart,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
8,,,,,Chaos,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
9,,,,,Blaze,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
10,,,,,Chill,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
11,,,,,Zap,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
12,,,,,Solid,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
13,,,,,Mind,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
14,,,,,Gross,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
15,,,,,Heart,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
16,,,,,Chaos,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
17,,,,,Blaze,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
18,,,,,Chill,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
19,,,,,Zap,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
20,,,,,Solid,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
21,,,,,Mind,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
22,,,,,Gross,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
23,,,,,Heart,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
